NREGGS,GROUP
12.8,resistant
21.6,resistant
14.8,resistant
23.1,resistant
34.6,resistant
19.7,resistant
22.6,resistant
29.6,resistant
16.4,resistant
20.3,resistant
29.3,resistant
14.9,resistant
27.3,resistant
22.4,resistant
27.5,resistant
20.3,resistant
38.7,resistant
26.4,resistant
23.7,resistant
26.1,resistant
29.5,resistant
38.6,resistant
44.4,resistant
23.2,resistant
23.6,resistant
35.4,nonselected
27.4,nonselected
19.3,nonselected
41.8,nonselected
20.3,nonselected
37.6,nonselected
36.9,nonselected
37.3,nonselected
28.2,nonselected
23.4,nonselected
33.7,nonselected
29.2,nonselected
41.7,nonselected
22.6,nonselected
40.4,nonselected
34.4,nonselected
30.4,nonselected
14.9,nonselected
51.8,nonselected
33.8,nonselected
37.9,nonselected
29.5,nonselected
42.4,nonselected
36.6,nonselected
47.4,nonselected
