breedte,hoek,soort
150,15,con
147,13,con
144,14,con
144,16,con
153,13,con
140,15,con
151,14,con
143,14,con
144,14,con
142,15,con
141,13,con
150,15,con
148,13,con
154,15,con
147,14,con
137,14,con
134,15,con
157,14,con
149,13,con
147,13,con
148,14,con
120,14,hei
123,16,hei
130,14,hei
131,16,hei
116,16,hei
122,15,hei
127,15,hei
132,16,hei
125,14,hei
119,13,hei
122,13,hei
120,15,hei
119,14,hei
123,15,hei
125,15,hei
125,14,hei
129,14,hei
130,13,hei
129,13,hei
122,12,hei
129,15,hei
124,15,hei
120,13,hei
119,16,hei
119,14,hei
133,13,hei
121,15,hei
128,14,hei
129,14,hei
124,13,hei
129,14,hei
145,8,hep
144,11,hep
140,11,hep
131,10,hep
139,11,hep
139,10,hep
136,12,hep
129,11,hep
140,10,hep
137,9,hep
141,11,hep
138,9,hep
143,9,hep
142,11,hep
144,10,hep
138,10,hep
140,10,hep
130,9,hep
137,11,hep
137,10,hep
136,9,hep
140,10,hep
